DLP_REDO_FROM_COPAL_G09.CEL TCGA-IC-A6RE
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_B05_1377534.CEL TCGA-JY-A6FB
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_H01_1373734.CEL TCGA-JY-A6FD
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_G03_1373652.CEL TCGA-JY-A6FE
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_A07_1377426.CEL TCGA-JY-A6FG
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_H03_1373716.CEL TCGA-JY-A6FH
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_B08_1465172.CEL TCGA-JY-A938
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_D10_1465018.CEL TCGA-JY-A939
ENATE_p_TCGAb_394_395_396_NSP_GenomeWideSNP_6_C03_1474110.CEL TCGA-JY-A93C
ENATE_p_TCGAb_394_395_396_NSP_GenomeWideSNP_6_D01_1474142.CEL TCGA-JY-A93D
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_F06_1465166.CEL TCGA-JY-A93E
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_G02_1465190.CEL TCGA-JY-A93F
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_B09_1377450.CEL TCGA-KH-A6WC
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_E05_1301410.CEL TCGA-L5-A43E
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_H03_1320600.CEL TCGA-L7-A56G
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_B01_1377436.CEL TCGA-L7-A6VZ
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_F09_1301214.CEL TCGA-LN-A49K
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_F03_1301208.CEL TCGA-LN-A49L
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_D03_1320512.CEL TCGA-LN-A49M
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_E04_1301320.CEL TCGA-LN-A49N
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_D10_1301338.CEL TCGA-LN-A49O
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_D04_1301322.CEL TCGA-LN-A49P
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C10_1301476.CEL TCGA-LN-A49R
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_G02_1301222.CEL TCGA-LN-A49S
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_C11_1320564.CEL TCGA-LN-A49U
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_F08_1301304.CEL TCGA-LN-A49V
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_E10_1320516.CEL TCGA-LN-A49W
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_D10_1320534.CEL TCGA-LN-A49X
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_F02_1320678.CEL TCGA-LN-A49Y
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_F04_1320580.CEL TCGA-LN-A4A1
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_H08_1320490.CEL TCGA-LN-A4A2
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_G05_1320676.CEL TCGA-LN-A4A3
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_F03_1320670.CEL TCGA-LN-A4A4
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_F06_1320586.CEL TCGA-LN-A4A5
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_F12_1320504.CEL TCGA-LN-A4A6
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_F01_1320520.CEL TCGA-LN-A4A8
BRIAR_p_TCGA_297_298_299_300_S_GenomeWideSNP_6_C03_1362306.CEL TCGA-LN-A4A9
BRIAR_p_TCGA_297_298_299_300_S_GenomeWideSNP_6_C08_1362354.CEL TCGA-LN-A4MQ
BRIAR_p_TCGA_297_298_299_300_S_GenomeWideSNP_6_C02_1362250.CEL TCGA-LN-A4MR
BRIAR_p_TCGA_297_298_299_300_S_GenomeWideSNP_6_C07_1362302.CEL TCGA-LN-A5U5
BRIAR_p_TCGA_297_298_299_300_S_GenomeWideSNP_6_D01_1362364.CEL TCGA-LN-A5U6
DLP_REDO_FROM_SWEDE_A08.CEL TCGA-LN-A5U7
TAZZA_p_TCGAb3_62_63_64_65_NSP_GenomeWideSNP_6_A11_1387906.CEL TCGA-LN-A7HV
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_H09_1388132.CEL TCGA-LN-A7HW
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_B07_1377414.CEL TCGA-LN-A7HX
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_H05_1388048.CEL TCGA-LN-A7HY
TAZZA_p_TCGAb3_62_63_64_65_NSP_GenomeWideSNP_6_A06_1387826.CEL TCGA-LN-A7HZ
HEIGH_p_TCGAb418_19_21_BCR_NSP_GenomeWideSNP_6_G10_1485746.CEL TCGA-LN-A8HZ
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_E04_1438446.CEL TCGA-LN-A8I0
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_E10_1438334.CEL TCGA-LN-A8I1
ENATE_p_TCGAb_394_395_396_NSP_GenomeWideSNP_6_C07_1474076.CEL TCGA-LN-A9FO
ENATE_p_TCGAb_394_395_396_NSP_GenomeWideSNP_6_D09_1474108.CEL TCGA-LN-A9FP
ENATE_p_TCGAb_394_395_396_NSP_GenomeWideSNP_6_D03_1474208.CEL TCGA-LN-A9FQ
ENATE_p_TCGAb_394_395_396_NSP_GenomeWideSNP_6_D07_1474098.CEL TCGA-LN-A9FR
BRIAR_p_TCGA_297_298_299_300_S_GenomeWideSNP_6_A03_1362304.CEL TCGA-M9-A5M8
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A10_1364804.CEL TCGA-Q9-A6FU
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_B01_1364832.CEL TCGA-Q9-A6FW
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_B02_1364896.CEL TCGA-R6-A6DN
DLP_REDO_FROM_SWEDE_B04.CEL TCGA-R6-A6DQ
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_B07_1364824.CEL TCGA-R6-A6KZ
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_B08_1364798.CEL TCGA-R6-A6L4
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F11_1373584.CEL TCGA-R6-A6L6
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_G01_1373692.CEL TCGA-R6-A6XG
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_A05_1377470.CEL TCGA-R6-A6XQ
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_A03_1377466.CEL TCGA-R6-A6Y0
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C01_1377530.CEL TCGA-R6-A6Y2
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_A01_1465068.CEL TCGA-R6-A8W5
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_A10_1465178.CEL TCGA-R6-A8W8
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_D04_1465170.CEL TCGA-R6-A8WC
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_C08_1465186.CEL TCGA-R6-A8WG
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_A11_1377484.CEL TCGA-RE-A7BO
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_B11_1364884.CEL TCGA-S8-A6BV
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_C01_1364970.CEL TCGA-S8-A6BW
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_H11_1388026.CEL TCGA-V5-A7RB
HEIGH_p_TCGAb418_19_21_BCR_NSP_GenomeWideSNP_6_E02_1485794.CEL TCGA-V5-A7RC
TAZZA_p_TCGAb3_62_63_64_65_NSP_GenomeWideSNP_6_A02_1387876.CEL TCGA-V5-A7RE
ENATE_p_TCGAb_394_395_396_NSP_GenomeWideSNP_6_C09_1474126.CEL TCGA-V5-AASV
HEIGH_p_TCGAb418_19_21_BCR_NSP_GenomeWideSNP_6_D06_1485654.CEL TCGA-V5-AASW
ENATE_p_TCGAb_394_395_396_NSP_GenomeWideSNP_6_B12_1474116.CEL TCGA-V5-AASX
HEIGH_p_TCGAb418_19_21_BCR_NSP_GenomeWideSNP_6_G08_1485720.CEL TCGA-VR-A8EO
HEIGH_p_TCGAb418_19_21_BCR_NSP_GenomeWideSNP_6_E11_1485790.CEL TCGA-VR-A8EP
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_F08_1438368.CEL TCGA-VR-A8EQ
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_G08_1438480.CEL TCGA-VR-A8ER
HEIGH_p_TCGAb418_19_21_BCR_NSP_GenomeWideSNP_6_E07_1485628.CEL TCGA-VR-A8ET
HEIGH_p_TCGAb418_19_21_BCR_NSP_GenomeWideSNP_6_G09_1485696.CEL TCGA-VR-A8EU
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_H06_1438366.CEL TCGA-VR-A8EW
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_E06_1438496.CEL TCGA-VR-A8EX
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_E08_1438328.CEL TCGA-VR-A8EY
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_F10_1438458.CEL TCGA-VR-A8EZ
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_E06_1465108.CEL TCGA-VR-A8Q7
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_E12_1465122.CEL TCGA-VR-AA4D
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_F08_1465200.CEL TCGA-VR-AA4G
HEIGH_p_TCGAb418_19_21_BCR_NSP_GenomeWideSNP_6_E09_1485702.CEL TCGA-VR-AA7B
HEIGH_p_TCGAb418_19_21_BCR_NSP_GenomeWideSNP_6_D08_1485728.CEL TCGA-VR-AA7D
HEIGH_p_TCGAb418_19_21_BCR_NSP_GenomeWideSNP_6_D10_1485658.CEL TCGA-VR-AA7I
HEIGH_p_TCGAb418_19_21_BCR_NSP_GenomeWideSNP_6_E05_1485778.CEL TCGA-X8-AAAR
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_F02_1438374.CEL TCGA-XP-A8T6
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_G06_1438394.CEL TCGA-XP-A8T7
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_G10_1438418.CEL TCGA-XP-A8T8
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_H08_1438492.CEL TCGA-Z6-A8JD
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_A06_1465036.CEL TCGA-Z6-A8JE
BREWS_p_TCGAb_382_383_NSP_GenomeWideSNP_6_A08_1465042.CEL TCGA-Z6-A9VB
HEIGH_p_TCGAb418_19_21_BCR_NSP_GenomeWideSNP_6_D12_1485686.CEL TCGA-Z6-AAPN
ENATE_p_TCGAb_394_395_396_NSP_GenomeWideSNP_6_C11_1474150.CEL TCGA-ZR-A9CJ
